"sep=;"
Kunder
Forsikringsnummer;Etternavn;Fornavn;Kunde siden;Fakturaadresse;Ubetalte erstatninger
10035;Flåten;Colin;2010-05-04;Buskogen 3;86728.0
10036;Stangeland;Sebastian;2005-02-24;Faunveien 19;70259.0
10037;Pettersen;Matteo;2012-02-13;Kvernkroken 14;33390.0
10038;Wangberg;Sebastian;2013-10-10;Halmstadveien 11;18980.0
10039;Johansen;Noah;2013-09-05;Sandgata 64;88110.0
10040;Sivertsen;Jenny;2010-09-25;Frølichs vei 32;42165.0
10041;Heggland;Matheo;2014-02-24;Bregneveien 63;16717.0
10042;Sannes;Angelica;2004-08-15;Granlytunet 37;72375.0
10043;Breivik;Isak;2001-04-02;Hekkeløpveien 60;32049.0
10044;Svihus;Emine;2014-06-09;Barbugårdsveien 4;23506.0
10045;Holtet;Samira;2005-05-15;Aabys gate 29;7366.0
10046;Kristiansen;Wilma;2003-11-21;Ørpehaugvegen 88;73917.0
10047;Pettersen;Andreas;2016-12-21;Kvalvågveien 34;82401.0
10048;Meland;Lucas;2013-01-26;Skolegata 19;2773.0
10049;Thomassen;Johannes;1997-01-21;Christen Andersens veg 72;14355.0
10050;Akhtar;Olaf;2003-08-23;Gullfakskroken 89;74567.0
10051;Eriksen;Stein;1995-11-15;Ankervegen 67;68713.0
10052;Johansen;Benjamin;2011-02-15;Hansøyveien 81;30278.0
10053;Solheim;Leo;2009-05-08;Jeppevegen 82;90176.0
10054;Aadland;Jørgen;2013-10-25;Langårdvegen 19;90100.0
10055;Antonsen;Henny;1999-02-01;Storhauggata 89;7819.0
10056;Eriksen;Hedvig;2016-09-02;Langeveien 23;82403.0
10057;Lindberg;Sabrina;2016-12-05;Øyern plass 62;35894.0
10058;Tran;Hanna;2011-08-07;Aagot Gjems Selmers veg 43;20.0
10059;Berg;Lucas;2013-12-10;Røykåskroken 55;64843.0
10060;Thomassen;Odin;2000-08-16;Skulgamvegen 31;62166.0
10061;Engeset;Ada;2009-10-14;Hvalsveien 57;95301.0
10062;Anti;Isaac;2005-05-27;Bassengveien 48;28455.0
10063;Andersen;Aron;2013-09-08;Sundevegen 78;45275.0
10064;Breivik;Synne;2016-02-20;Skansebakken 8;70579.0
10065;Halvorsen;Denis;2009-03-02;Bratta 18;73311.0
10066;Bjørgen;Casper;2007-11-02;Grønstads gate 70;18515.0
10067;Sæther;Filip;2006-08-15;Verftsveien 86;92261.0
10068;Haukås;Sebastian;2001-01-08;Lukas Skogsås gate 36;58736.0
10069;Haugland;Jacob;2012-11-26;Østhellinga 98;52951.0
10070;Moen;Julian;2011-02-01;Bergelandsgata 88;60869.0
10071;Henriksen;Jenny;2008-11-04;Konvallveien 38;93187.0
10072;Eriksen;Selmer;2016-08-19;Ringsveien 67;12769.0
10073;Breivik;Sebastian;2015-02-06;Valleveien 83;90414.0
10074;Henriksen;Elliot;2017-07-15;De Eldres vei 92;28094.0
10075;Grøndahl;Marte;1999-02-12;Borgenbråten 80;7759.0
10076;Mork;Linn;2014-09-03;Flyplassvegen 48;6057.0
10077;Solheim;Henny;2007-06-26;Øvre Ringvei 49;96148.0
10078;Tronstad;Ingeborg;1995-02-12;Bruksgata 54;72703.0
10079;Flåten;Simon;2013-11-03;Blåsteinveien 81;33689.0
10080;Knutsen;Samuel;2009-11-07;Byfoged Finnes gate 61;82994.0
10081;Mo;Simon;2000-08-15;Bliksrudhagan 46;99123.0
10082;Olsson;Konrad;2007-12-06;Nordre Elvikvei 63;30603.0
10083;Kristiansen;Patrycja;2013-01-02;Hubroveien 16;52880.0
10084;Ellingsen;Iman;2013-02-08;Sagberget 90;31815.0
10085;Bruvoll;Johannes;2016-04-11;Sigurd Nergaards veg 39;28356.0
10086;Wold;Nathaniel;2014-04-25;Nesttunkollen 87;26214.0
10087;Mossige;Emine;2002-06-25;Industrigata 35;90189.0
10088;Berge;Diana;2012-06-05;Harestien 70;7736.0
10089;Opsahl;Sebastian;2001-12-05;Gamlelinja 26;33843.0
10090;Skog;Thea;2000-03-06;Vesleveien 54;17302.0
10091;Granås;Adrian;2013-06-26;Schweigaards gate 25;18634.0
10092;Haukås;Nicolai;2012-09-01;Ytterseinesveien 38;38588.0
10093;Aagesen;Mathea;2004-05-25;Kaja Eides vei 25;86677.0
10094;Heide;Agnes;1999-07-24;Ryes gate 66;11374.0
10095;Iversen;Synne;1995-10-08;Hjalmar Larsens gate 55;28281.0
10096;Aabel;Pernille;1998-11-02;Kråkemyro 20;8857.0
10097;Samuelsen;Sara;2015-04-02;Ulveveien 89;91013.0
10098;Knudsen;Mathea;1995-06-09;Vesleveien 24;44488.0
10099;Pettersen;Jonas;1996-03-01;Orekåsgata 22;74179.0
10100;Hansen;Christoffer;2019-06-20;Steinbekk gård 9;51055.0
10101;Midtbø;Noah;2003-08-11;Eilert Sundts gate 29;80461.0
10102;Melby;Natalie;2005-05-10;Sinsenterrassen 98;93210.0
10103;Rognes;Håvard;2000-03-01;Skarpsnogata 71;80312.0
10104;Flø;Mika;2010-07-21;Furusethveien 14;6271.0
10105;Moe;Arthur;2000-07-04;Oddefjell 53;84280.0
10106;Olsen;Ali;1999-09-20;Ingrids gate 27;59642.0
10107;Jensen;Patrick;2003-07-15;Solfjellstubben 31;12832.0
10108;Jacobsen;Astrid;1998-07-13;Granneslia 15;19187.0
10109;Johansen;Victor;1998-09-23;Skogmovegen 91;28968.0
10110;Solheim;Helene;2015-12-20;Rolandvegen 42;10429.0
10111;Kaya;Amelia;2009-03-19;Lomveien 85;36136.0
10112;Norheim;Bernard;2010-09-28;Nordmørgata 51;99629.0
10113;Ruud;Luna;2016-09-12;Orreveien 66;66209.0
10114;Engeset;Olava;2002-08-06;Lundevegen 85;25097.0
10115;Løberg;Anders;2004-03-18;Nedre Nattland 30;42584.0
10116;Hansen;Nicoline;2010-11-13;Sandbækveien 54;98427.0
10117;Johansen;Olava;2009-07-24;Majorvegen 3;27198.0
10118;Hegdal;Dominika;1995-01-15;Kvalvågveien 86;80256.0
10119;Ingvaldsen;Noah;2000-05-17;Øyvind Sørensens gate 5;87381.0
10120;Haugen;Viktoria;2014-09-16;Otto Sverdrups vei 36;50459.0
10121;Jenssen;Henrik;1997-08-26;Hjørnerødgata 83;65464.0
10122;Moe;Ingrid;2001-02-17;Hjalmar Larsens gate 22;98171.0
10123;Rønning;Anton;2012-01-18;Gaupevegen 25;61236.0
10124;Johnsen;Maria;2000-01-17;Søndre Fageråsvei 45;38348.0
10125;Stadheim;Maja;1999-10-04;Hvalsveien 50;799.0
10126;Myller;Aurora;2002-07-13;Åsenhagen 90;62914.0
10127;Øye;Sebastian;1999-11-28;Gamle Borgen vei 68;54606.0
10128;Arntsen;Martin;2018-08-16;Stockfleths gate 6;7347.0
10129;Rasmussen;Sebastian;2005-08-10;Kløveråsveien 76;50899.0
10130;Ellingsen;Anna;2015-12-09;Einerveien 64;87847.0
10131;Skogmo;Aylin;2015-02-19;Solbergveien 29;89530.0
10132;Halland;Maria;2010-11-04;Jens Dedekams vei 17;14030.0
10133;Pettersen;Daniel;1999-09-28;Raustuvegen 23;52452.0
10134;Wang;Angelica;2016-09-04;Karivoldveien 67;68471.0
10135;Hartveit;Lea;2019-06-09;Hans Amundsens gate 76;5563.0
10136;Jakobsen;Johannes;2003-10-11;Bjynnvassdalen 34;35185.0
10137;Antonsen;Åse;2005-01-17;Lanesvegen 32;94872.0
10138;Paulsen;Filip;2011-07-16;Nærbøgata 25;48340.0
10139;Ellingsen;Nikolai;2011-03-22;Sandvollia 38;78879.0
10140;Johansen;Casper;1998-11-07;Bøkleva 78;91875.0
10141;Hansen;Linnea;1999-07-16;Sagplassvegen 32;86287.0
10142;Øygard;Lucas;2001-02-01;Godliaveien 91;45268.0
10143;Kristensen;Andrea;1999-05-07;Veslefrikkveien 84;95212.0
10144;Roland;Erik;2009-01-10;Bjynnvassdalen 95;15892.0
10145;Sollid;Tuva;2012-02-19;Fossumveien 25;61871.0
10146;Skjørestad;Magnus;2000-01-02;Sjøvegen 76;5350.0
10147;Nørstebø;Oskar;2010-05-21;Solveien 92;58237.0
10148;Lindblad;Nikolai;2013-09-28;Øyåsbakken 80;55444.0
10149;Kjeldsen;Anna;2003-01-12;Bliksrudveien 84;25247.0
10150;Wang;Victoria;2001-01-04;Hellesteinveien 29;40018.0
10151;Riise;Helene;1998-06-20;Anders Rørholts vei 29;98319.0
10152;Pedersen;Emma;2008-09-24;Vassfaret 3;66481.0
10153;Aadland;Andrea;1998-06-09;Professorveien 94;44786.0
10154;Thorkildsen;Nils;2007-02-18;Dvergveien 99;82892.0
10155;Grimstad;Ingvild;2013-04-17;Vestre Solhellinga 21;2265.0
10156;Olsen;Julian;2002-08-19;Ammerudhellinga 30;91213.0
10157;Wang;Martha;2003-12-20;Rolandstredet 25;14009.0
10158;Aas;Aron;2010-01-08;Hvalsveien 22;39617.0
10159;Gunnestad;Lucas;2008-06-07;Hemmestveittunet 64;47064.0
10160;Brænden;Kristoffer;1999-03-16;Håkon Sverressons veg 85;88507.0
10161;Solberg;Mats;2016-08-11;Kamperhauggata 83;9478.0
10162;Daleng;Robin;2017-01-17;Bjerkelivegen 6;62970.0
10163;Mørkved;Jenny;2013-11-26;Johannes Minsaas' veg 1;11882.0
10164;Kristiansen;Marius;2016-08-10;Eikornrødvegen Sør 61;83759.0
10165;Arnøy;Viktoria;2017-04-11;Skeilunden 90;21979.0
10166;Fossen;Adam;2006-06-02;Konvertorveien 30;33641.0
10167;Ludvigsen;Michael;2014-09-26;Kjosvik 81;58540.0
10168;Johansen;Pernille;2011-06-13;Hovsbruveien 13;88816.0
10169;Sivertsen;Synne;2014-05-15;Byggveien 42;30219.0
10170;Hatlem;Magnus;2015-05-09;Kila 37;69644.0
10171;Skjetne;Benjamin;2014-12-24;Hyttegata 31;63372.0
10172;Solstad;Jenny;2007-09-05;Elveosen 57;82564.0
10173;Karlsen;Magnus;2015-01-03;Hekkeløpveien 23;46816.0
10174;Grønli;John;2009-01-19;Beverstien 86;8170.0
10175;Samuelsen;Pernille;2000-01-05;Stivivegen 82;74027.0
10176;Semb;Torben;2016-03-08;Hertzbergs gate 87;59974.0
10177;Karlsen;Eirik;2005-10-16;Lukas Skogsås gate 26;83223.0
10178;Holte;Eirik;2005-11-06;Skjønningsengvegen 98;36755.0
10179;Pettersen;Olav;2019-02-04;Chr Michelsens gate 32;83314.0
10180;Askim;Hanna;2018-11-11;Myrlandsvegen 48;3811.0
10181;Kvande;Hanna;2002-11-13;Hunstein 86;57709.0
10182;Digre;Alise;2017-03-16;Nedre Eidstredet 78;68805.0
10183;Tornes;Victoria;1999-02-11;Holeberget 13;82131.0
10184;Holth;Lykke;2017-01-05;Myrlandsvegen 80;99031.0
10185;Bruvoll;Anna;1997-07-10;Kari Trestakks vei 61;1135.0
10186;Arntsen;John;2005-12-27;Husvikveien 88;9776.0
10187;Sørensen;Torben;2011-04-24;Meklenborgåsen 28;16891.0
10188;Somby;Nikolai;2012-11-14;Skavhaugen 83;8520.0
10189;Wilhelmsen;Gabriel;2004-03-07;Lunas vei 16;24267.0
10190;Berget;Synne;2014-08-17;Bjerkastien 10;75436.0
10191;Kristiansen;Tobias;2019-04-02;Hellesteinveien 83;92630.0
10192;Nilsen;Emily;2006-05-22;Kvernkroken 86;54541.0
10193;Klingenberg;Colin;2008-04-10;Sanderveien 51;48620.0
10194;Olsen;Pia;2016-10-21;Steinurbakken 5;47633.0
10195;Hågensen;Vebjørn;2016-06-24;Lensmann Jens Sørums vei 33;59718.0
10196;Vold;Oskar;1997-11-16;Sundevegen 66;32061.0
10197;Hetland;Melissa;2015-05-12;Siksakveien 1;18675.0
10198;Paulsen;Silje;2013-03-20;Bjørningstadveien 67;77297.0
10199;Farstad;Julie;2007-03-03;Fagstadvegen 7;22048.0
10200;Samuelsen;Tilde;2007-06-14;Meisestien 55;25059.0
10201;Gulbrandsen;Tuva;2018-08-24;Baggliveien 40;15560.0
10202;Liabø;Lucas;2010-06-25;Barbugårdsveien 53;38798.0
10203;Stokkenes;Maria;2017-04-10;Konvallveien 95;41019.0
10204;Årvik;Joakim;1999-04-17;Revheimsslåttå 19;47532.0
10205;Smith;Emilie;2003-07-08;Gøtevegen 77;73528.0
10206;Nilsen;Henny;2019-08-04;Gamle Asheimvei 24;93625.0
10207;Paulsen;Peter;1999-11-21;Søndre Fageråsvei 43;88008.0
10208;Thomassen;Gaute;2015-02-18;Mikjelsbakken 28;94673.0
10209;Alsos;Andreas;2010-02-27;Meatjønnshaugen 56;84031.0
10210;Takvam;Alvilde;2014-01-14;O L Aunes gate 29;63479.0
10211;Myller;Kamile;2017-08-07;Telthusveien 90;13216.0
10212;Hamre;Eirik;2014-01-07;Steintangvegen 69;89899.0
10213;Kringstad;Mikael;2012-10-22;Egstien 92;67582.0
10214;Aune;Noor;1997-10-15;Russevikveien 6;10284.0
10215;Nilsen;Elias;2005-11-12;Kallumlia 62;78399.0
10216;Pettersen;Mathilde;1999-01-13;Nikolaikirkeallmenningen 58;13652.0
10217;Holm;Sander;2019-12-24;Salmakergata 39;58788.0
10218;Johnsen;Emma;1995-06-24;Kjelleveien 34;96982.0
10219;Aadland;Liam;1998-02-08;Meheiaveien 32;87833.0
10220;Berg;Odin;1998-11-06;Rådyrstien 22;40506.0
10221;Næss;Emmett;2011-04-10;Holmejordetveien 51;33381.0
10222;Søfteland;Mathias;2005-07-08;Conrad Holmboes veg 90;22874.0
10223;Skeie;Tobias;2005-09-19;Poppelveien 76;21845.0
10224;Larsen;Sunniva;2000-12-11;Muslingveien 55;75638.0
10225;Helgeland;Ole;2000-05-26;Skjolddalen 61;29953.0
10226;Blindheim;Marte;2019-04-15;Barbugårdsveien 17;13866.0
10227;Haugen;Elsa;2017-09-09;Tokeruddalen Øst 60;24891.0
10228;Bye;Laurits;2006-12-26;Abildsøfaret 13;72209.0
10229;Håland;Noah;2002-09-01;Sandbyveien 59;70413.0
10230;Sørmo;Isak;2015-09-20;Jernverksgata 75;94553.0
10231;Ruud;Emma;1995-10-26;Paradevegen 7;61220.0
10232;Holtet;Eliza;2013-11-01;Telefonveien 18;37287.0
10233;Brox;Lucas;2004-08-11;Havreveien 34;90561.0
10234;Halland;Colin;2005-07-25;Thaulows vei 64;52410.0
10235;Smistad;Johan;2018-02-03;Thor Heyerdahls gate 58;76838.0
10236;Mossige;Storm;1997-02-19;Myrveien 58;6059.0
10237;Jacobsen;Elias;2015-08-11;Kanefarten 40;11925.0
10238;Sara;Lykke;2008-11-10;Solbakken 83;99133.0
10239;Holtet;Lasse;2002-03-24;Telthusveien 24;67289.0
10240;Moen;Kristoffer;2001-12-19;Geiteramsveien 10;16754.0
10241;Holm;Mathea;2006-11-09;Eikåsneset 64;11772.0
10242;Gjersøe;Alexandra;1996-12-08;Nedre Eidstredet 46;92523.0
10243;Olsen;Noah;2008-12-13;Breidablikk 88;14663.0
10244;Pettersen;Vilja;2007-02-21;Kollåsskiftet 83;52110.0
10245;Nysæther;Sverre;1998-08-27;Njords veg 28;84718.0
10246;Knudsen;Marita;2014-07-08;Berghusvegen 27;31331.0
10247;Iversen;Trygve;1999-11-07;Nadderudlia 77;87030.0
10248;Strøm;Frida;2007-02-12;Rorhusvegen 83;95638.0
10249;Rørvik;Leo;2009-01-04;Forushagen 99;36377.0
10250;Ruud;Thomas;2009-12-16;Londalen 60;27186.0
10251;Aabel;Aurora;2003-09-14;Knut Glomsaas' vei 41;24715.0
10252;Medhus;Karen;1998-02-17;Bakkeveien 90;14790.0
10253;Nygård;Jonas;2006-05-14;Lars Nøsens veg 99;5309.0
10254;Bjørkli;Alexander;1997-07-15;Skytterveien 47;64652.0
10255;Englund;Emilie;2001-06-13;Kringsjåvegen 90;52770.0
10256;Nøttveit;Isak;2009-12-16;Grønlandsleiret 17;55650.0
10257;Jama;Norah;2012-03-03;Femdalsund 18;84257.0
10258;Grimsrud;Lea;2009-06-12;Solbakken 56;31480.0
10259;Olsen;Leon;2011-05-15;Sandvollia 66;75299.0
10260;Heiberg;Marie;1999-07-27;Gustav A Devolds gate 71;81078.0
10261;Olsen;Hamza;1997-04-18;Raustuvegen 55;93244.0
10262;Svendsen;Theo;2012-10-12;Betongveien 37;22037.0
10263;Eriksen;Henny;2002-07-13;Fastings gate 49;15052.0
10264;Andersen;Isak;2008-05-15;Wedels gate 84;41423.0
10265;Sannes;Even;2013-09-08;Ringsveien 21;24053.0
10266;Lunde;Erle;1997-08-19;Skomværgata 67;32546.0
10267;Nordhagen;Amalie;2001-06-25;Sigurds vei 18;49503.0
10268;Røste;Georg;2013-01-20;Bispegra 45;24114.0
10269;Gulbrandsen;Erik;2019-12-15;Møllervegen 72;43600.0
10270;Hem;Oliver;1999-04-02;Grenaderveien 33;14008.0
10271;Forsmo;Dominykas;1995-03-06;Peter Aas' vei 37;38362.0
10272;Melby;Sigrid;2006-06-21;Lamøya 20;81169.0
10273;Pedersen;Hanna;2005-01-11;Persvei 13;78763.0
10274;Harstad;Aylin;2015-04-05;Søregata 31;43914.0
10275;Iden;Matheo;1998-01-01;Villaveien 7;57968.0
10276;Haugland;Lea;1996-11-04;Hofsfossveien 61;91106.0
10277;Larsen;Torjus;2010-01-13;Skårgangen 76;29967.0
10278;Kaur;Filip;2014-08-02;Bruksgata 78;94100.0
10279;Aslaksen;Iver;2018-04-05;Rosenlundveien 39;89511.0
10280;Kvalvåg;Pernille;2017-02-09;Eikornrødvegen Sør 60;22444.0
10281;Lie;Iben;2017-10-18;Hans Amundsens gate 82;2352.0
10282;Olsen;Jonathan;2003-02-21;Fjordgata 22;18862.0
10283;Ramstad;Hussein;1997-10-16;Skoglien 100;93931.0
10284;Jansen;Edvin;2009-01-14;Axel Dahls terrasse 38;80359.0
10285;Aanonsen;Marvin;1996-02-23;Løkkaveien 99;62569.0
10286;Johansen;Kaja;2000-09-27;Vettaliveien 39;28775.0
10287;Steine;Laura;2003-09-26;Stallane 84;88079.0
10288;Brænden;Angelina;1995-01-27;Apotekerveien 8;6700.0
10289;Tronstad;Linn;2002-05-12;Myrveien 35;19797.0
10290;Rønning;Håvard;2011-03-18;Munkelia 1;57910.0
10291;Hansen;Magnus;2014-04-10;Rødtvetkroken 83;36336.0
10292;Werner;Vilhelm;2009-05-04;Ålmoveien 52;4991.0
10293;Nordhagen;Mikkel;2004-07-02;Søre Skulstad 12;17927.0
10294;Løkke;Emma;2007-04-27;Veslevegen 51;73782.0
10295;Andresen;Oliver;1995-11-22;Naxbie 83;75514.0
10296;Tungland;Erle;2000-12-01;Nedre Tomtegate 8;76984.0
10297;Rørvik;Natalie;1998-04-15;Eilert Sundts gate 69;26514.0
10298;Østby;Halvor;2015-11-13;Vaglefjellskogen 97;83255.0
10299;Jensen;Emil;1999-12-22;Lamøya 80;11485.0
10300;Nygaard;Alexander;2014-04-05;Breidablikk 72;50090.0
10301;Anfinsen;Julie;2001-04-19;Bankbakken 56;74270.0
10302;Richardsen;Leo;2000-03-27;Nøklebytoppen 10;68063.0
10303;Kruse;Jenny;2006-06-23;Skistuvegen 75;10251.0
10304;Selvik;Elisabeth;2006-01-14;Ginatunet 76;87209.0
10305;Larsen;Kajsa;2011-06-07;Telemarksvingen 45;67958.0
10306;Johansen;Peter;2013-03-13;Nedre Ullern terrasse 3;45763.0
10307;Skjetne;Linea;1995-08-16;Frølichs vei 49;32968.0
10308;Vangen;Albert;2017-01-04;Baggliveien 67;82406.0
10309;Huse;Sebastian;2013-04-20;Åsenveien 61;48809.0
10310;Førland;Filip;2014-03-12;Åsmund Vinjes vei 33;29992.0
10311;Odden;Bernhard;2000-06-23;Kleberget 82;85813.0
10312;Øverland;Sofie;1997-05-04;Sparresgaten 14;80084.0
10313;Braathen;Karen;1996-12-02;Myrveien 91;4354.0
10314;Straume;Kian;2016-01-01;Gåseidstien 97;42227.0
10315;Pedersen;Marvin;2012-04-12;Lunas vei 30;97178.0
10316;Andersen;Axel;2004-07-05;Aasmund Vinjes vei 69;87212.0
10317;Botnen;Maria;2017-01-02;Bølerbakken 41;78090.0
10318;Kolnes;Ayla;1997-01-22;Vesterlivegen 86;68049.0
10319;Berge;Emma;1997-05-14;Stridestraumvegen 32;41711.0
10320;Larsen;Marita;1997-05-01;Solbergveien 73;99615.0
10321;Bergland;Gaute;1998-04-18;Hasselveien 54;63247.0
10322;Schrøder;Nora;2003-01-28;Nesahaugen 36;17943.0
10323;Hassel;Isak;1997-07-21;Skarpholvegen 6;18486.0
10324;Kristiansen;Emma;1996-10-08;Torger Carlsens gate 67;45661.0
10325;Dvergsdal;Emma;2003-08-01;Bjørnsons vei 71;9858.0
10326;Wergeland;Jens;2004-04-23;Ditlev Bloms veg 33;64243.0
10327;Fischer;Elias;1996-01-18;Skolegata 8;46787.0
10328;Sand;Jørgen;2018-02-15;Matrosvegen 78;20426.0
10329;Jørgensen;Nora;1995-07-24;Åttringsveien 60;41485.0
10330;Iversen;Lykke;1999-05-04;Grensevegen 31;56450.0
10331;Furulund;Martin;2012-12-09;Gøtevegen 50;50384.0
10332;Haugen;Max;2001-03-03;Vestmarkbakken 24;20551.0
10333;Husebø;Ingeborg;2015-05-19;Rugdeberget 96;36284.0
10334;Pedersen;Sanna;2019-01-10;Anders Liaklevs veg 14;91016.0
10335;Rønningen;Maja;1996-09-20;Peter Aas' vei 66;74379.0
10336;Kringstad;Herman;2001-01-27;Fagstadvegen 2;77202.0
10337;Sivertsen;Ella;2002-04-23;Yttervikveien 30;75818.0
10338;Nordhagen;Kian;2006-01-02;Espentunet 75;29359.0
10339;Thøgersen;Alisa;2003-11-18;Normannsgata 27;51184.0
10340;Meyer;Ole;2001-08-17;Bakkeveien 50;49242.0
10341;Skog;Aurora;2000-12-24;Matrosveien 57;41502.0
10342;Noreng;Sebastian;2013-03-18;Th. Engers veg 75;44631.0
10343;Nyheim;Jenny;2010-04-06;Kløverstien 39;17253.0
10344;Haugom;Sara;2000-04-01;Trimveien 99;20888.0
10345;Bjørkmo;Teja;1995-08-12;Langhaven 72;77203.0
10346;Larsen;Stefan;2019-12-14;Påleklova 64;22798.0
10347;Fossum;Kristian;2005-01-09;Lillehauger 17;11520.0
10348;Andersen;Angelica;1999-08-09;Rødhettestien 14;36418.0
10349;Kjørsvik;Eline;2008-06-25;Åsenhagen 24;67066.0
10350;Wilhelmsen;Ben;1998-01-20;Rønningveien 85;34776.0
10351;Hansen;Andreas;2004-08-27;Åledalsveien 44;23601.0
10352;Sollid;Maiken;2010-09-23;Essoveien 67;95835.0
10353;Pedersen;Maja;1996-12-18;Filips gate 3;80451.0
10354;Kaur;Erlend;1997-02-12;Nedre Ullern terrasse 46;37578.0
10355;Karlsen;Jonas;2001-02-23;Otto Sverdrups vei 99;44381.0
10356;Botnen;Preben;2011-09-15;Mathias Bruns gate 94;87348.0
10357;Nilsen;Freya;1995-07-03;Albert Moens veg 79;85166.0
10358;Bjørvik;Sofie;2003-02-09;Bjørgefaret 91;19833.0
10359;Eriksen;Angelica;2016-07-13;Grønlandsleiret 32;14447.0
10360;Aasland;Nora;2002-07-13;Ulsberghagen 78;30385.0
10361;Arntzen;Andrea;2006-11-14;Johannes Minsaas' veg 76;17453.0
10362;Berger;Eirik;2004-03-18;Rødhettestien 2;14435.0
10363;Wang;Phillip;2005-11-15;Breisteinvegen 31;3615.0
10364;Eide;John;2012-02-21;Breisteinvegen 22;5152.0
10365;Jørgensen;Maia;2014-12-19;Kringsjåvegen 18;71249.0
10366;Nilsen;Charlotte;2019-08-07;Gravdalsveien 5;12979.0
10367;Kristiansen;Sofie;2012-04-20;Tungen 91;49220.0
10368;Nilsen;Trygve;2008-07-22;Lunneveien 82;61412.0
10369;Kristiansen;Theo;2007-02-27;Beverstien 73;83800.0
10370;Joakimsen;Helle;2012-08-14;Olav Aukrusts veg 12;17140.0
10371;Andersen;Halvor;2016-01-23;Grevlingvegen 26;65885.0
10372;Larsen;Kristina;2004-02-14;Frusetholtet 72;11201.0
10373;Bashir;Sebastian;2012-02-24;Gamle Asheimvei 76;85339.0
10374;Risnes;Halvor;2015-04-14;Skytterlagsveien 68;38050.0
10375;Bakka;Daniel;2004-08-03;Peter Aas' vei 73;95524.0
10376;Torgersen;Alicja;2017-04-14;Sandshagan 84;23941.0
10377;Iversen;Astrid;2001-02-10;Kanefarten 46;20192.0
10378;Øye;Amalie;1997-11-24;Nadderudlia 74;88937.0
10379;Osnes;Mina;2001-02-22;H W Friis veg 88;30122.0
10380;Stokkenes;Amalie;2001-04-20;Solvegen 57;13957.0
10381;Wang;Vetle;2000-02-14;Nesttunkollen 34;47624.0
10382;Johansen;Elliot;1998-05-23;Feddersens gate 42;13751.0
10383;Klein;Silje;2015-01-16;Sivert Gjørtlers veg 89;74189.0
10384;Sylte;Anne;2003-10-25;Tømmeråsveien 99;35016.0
10385;Lunde;Eirik;2009-05-14;Rønningveien 6;20057.0
10386;Rønning;Ingeborg;2001-05-20;Bredmyra 80;33077.0
10387;Mork;Julia;2002-08-06;Symrebakken 49;93656.0
10388;Berger;Amalie;2018-12-13;Nedre Prestavegen 29;47587.0
10389;Wold;Adrian;2016-09-23;Øykjeneshaugen 13;81323.0
