sep=;
Kunder
Forsikringsnummer;Etternavn;Fornavn;Kunde siden;Fakturaadresse;Ubetalte erstatninger
10042;Bakker;Liam;2010-8-1;Vassåsveien 69;92752.0
10043;Wergeland;Noah;2006-1-28;Veslevegen 29;15287.0
10044;Engeset;Abdullah;2016-4-11;Nordliskrenten 94;81526.0
10045;Johannessen;Sofie;2006-1-9;Brennaveien 87;33720.0
10046;Eriksen;Hedda;2010-12-25;Lassedalsveien 54;78323.0
10047;Nyheim;Ingeborg;1997-3-12;Lundetunet 33;58014.0
10048;Hovland;Jenny;2000-1-10;Bjørkelunden 3;61295.0
10049;Jørgensen;Pernille;2016-1-7;Løkkaveien 72;63082.0
10050;Sigurdsen;Una;1995-11-15;Håhammartunet 16;62342.0
10051;Pettersen;Amalie;1997-1-15;Mons Slettens veg 48;37697.0
10052;Bjerkan;Jennie;1997-10-0;Telefonveien 92;15878.0
10053;Stene;Truls;2010-9-9;Tinnstien 76;67537.0
10054;Breivik;Eliza;2002-10-23;Sagberget 20;48243.0
10055;Solheim;Aurora;2004-2-3;Paul Bentsens gate 56;20492.0
10056;Hansen;Peter;2016-2-5;Songe terrasse 20;65431.0
10057;Noreng;Lucas;2000-12-15;Sædalsvegen 93;14691.0
10058;Blindheim;Anna;2004-10-4;Bergheimsvegen 81;55752.0
10059;Stene;Emilie;2009-3-13;Svehaug 73;35470.0
10060;Nesse;Iris;2017-11-17;Bakkegata 5;46660.0
10061;Hansen;Eliah;2004-3-21;Per Halvorsens vei 84;7026.0
10062;Eide;Adrian;2016-1-17;Vammatoppen 30;85102.0
10063;Samuelsen;Alvilde;2008-10-0;Oksenøyveien 28;17490.0
10064;Skjetne;Karoline;2005-12-1;Lindemann Bulls vei 33;81716.0
10065;Nordhaug;Sara;2012-9-25;Severines veg 13;81611.0
10066;Bø;Alva;2018-5-3;Welhavens gate 26;37364.0
10067;Pettersen;Abdullah;2014-8-14;Bregneveien 94;81311.0
10068;Meyer;Thea;2016-0-11;Gullerud 50;15751.0
10069;Strøm;Kim;1995-12-8;Kvernkroken 42;51187.0
10070;Sørensen;Ole;2019-9-7;Hasselveien 86;40509.0
10071;Kanestrøm;Elias;2010-3-27;Roald Amundsens gate 59;31722.0
10072;Amdam;Ingebjørg;1998-2-1;Bjørkelia 18;41176.0
10073;Hansen;Noah;2010-9-9;Holeberget 76;65576.0
10074;Mathisen;Isabell;1996-12-9;Gravarskroken 8;50669.0
10075;Tornes;Joakim;2004-5-17;Buskogen 11;49337.0
10076;Iqbal;Jens;2009-9-0;Sneveien 15;17092.0
10077;Strøm;Nora;2009-8-6;Skogveien 29;84022.0
10078;Thorsen;Matteo;2006-7-3;Gammelgårdvegen 53;50457.0
10079;Hovden;Elina;2001-0-13;Ørneveien 22;1260.0
10080;Jakobsen;Sarah;2007-8-0;Korsvik allé 78;33374.0
10081;Bekkelund;Andreas;2002-4-15;Klostervegen 35;48751.0
10082;Knutsen;Julie;1999-4-11;Teinehaugen 81;91654.0
10083;Nilsen;Mina;2001-9-6;Sandskargata 45;81670.0
10084;Bø;Liam;2009-10-6;Lundsbakken 24;90484.0
10085;Hagen;Syed;2019-8-19;Østre Agnalt vei 94;40170.0
10086;Karlsrud;Ida;1997-0-0;Kila 19;17226.0
10087;Nilsen;Noah;2007-6-7;Kamperhauggata 40;15123.0
10088;Vinje;Olav;2017-1-27;Husvikveien 80;17691.0
10089;Farstad;Cornelia;2014-6-15;Sigrid Undsets veg 9;26512.0
10090;Bell;Caroline;2000-9-24;Vaskerelven 64;7450.0
10091;Takvam;Johanna;2004-1-25;Kirseboms vei 37;13786.0
10092;Holm;Katrine;2003-4-6;Holsts gate 72;99768.0
10093;Mathisen;Emil;2001-10-0;Telefonveien 13;82528.0
10094;Kanestrøm;Kristoffer;2012-4-0;Haugsåsen 80;75560.0
10095;Sivertsen;Martine;2013-10-23;Knattenvegen 32;57878.0
10096;Berg;Sander;2002-8-24;Eckmannsbakken 31;87930.0
10097;Pedersen;Hilde;2017-9-17;Bregneveien 64;50165.0
10098;Svanberg;Preben;2010-2-10;Embetsveien 92;40272.0
10099;Haugen;Karen;1999-1-15;Oksevolltoppen 24;63170.0
10100;Nyheim;Tuva;2010-7-25;Heimtrøa 56;50916.0
10101;Larsen;Marte;2012-0-1;Peder Myhres veg 69;49586.0
10102;Torkelsen;Hedvig;2003-9-3;Hovsbruveien 57;73920.0
10103;Jacobsen;Oda;2002-12-21;Øvre Frednes veg 47;50345.0
10104;Rønning;Martine;2007-8-8;Voldsvegen 69;66487.0
10105;Schrøder;Nora;2018-12-25;Øyåsbakken 94;35213.0
10106;Sand;Julie;2007-0-17;Hystadvegen 32;55770.0
10107;Larsen;Hamza;2006-5-20;Tevlingveien 22;365.0
10108;Johansen;Maria;2017-10-13;Buskogen 32;68258.0
10109;Svendsen;Frida;2002-12-12;Sverdveien 86;36283.0
10110;Øen;Lucas;2015-9-12;Underhaugsvegen 98;32952.0
10111;Jakobsen;Stefan;2019-7-9;Thaulows vei 60;25366.0
10112;Lund;Kaja;2000-7-22;Smedsvingen 78;92074.0
10113;Sand;Hans;2004-1-22;Smedsletta 88;23285.0
10114;Abdi;Kristine;1996-0-7;Konvertorveien 98;86090.0
10115;Leivestad;Martin;1996-5-1;Borgeåsen terrasse 69;83094.0
10116;Haugen;Ole;2017-2-20;Fossumveien 40;50033.0
10117;Seland;Tiril;2017-9-11;Erikjordveien 4;24380.0
10118;Selvik;Mathias;1999-11-1;Bergbyveien 8;2424.0
10119;Haukås;Iben;1996-10-3;Lomviveien 76;59410.0
10120;Jørgensen;Simen;2018-0-23;Kløverstien 60;41942.0
10121;Mortensen;Mathias;2003-5-13;Kremleveien 51;87124.0
10122;Moen;Christian;1996-6-24;Vindgårdsvegen 32;10769.0
10123;Næss;Aksel;2006-8-6;Kirkebakken 99;17859.0
10124;Jacobsen;Kristine;2002-6-10;Tevlingveien 90;24863.0
10125;Tønder;Karolina;1997-3-11;Nedre Kristianstens gate 5;55838.0
10126;Kvinge;Tobias;2006-9-20;Thomassletta 28;42437.0
10127;Lund;Elias;2019-10-26;Gjermundrudveien 75;94063.0
10128;Holstad;Mia;2011-2-12;Lillehauger 82;1550.0
10129;Seland;Linnea;2012-8-24;Skolegata 57;49860.0
10130;Pedersen;Isak;1999-9-17;Valleveien 38;25014.0
10131;Otterstad;Theo;2015-3-23;Orrehaugen 25;97108.0
10132;Antonsen;Aurora;2002-9-0;Niels A. Nielsens veg 52;14196.0
10133;Sveen;Magnus;2018-6-2;Grubevegen 5;42000.0
10134;Sogn;Oskar;2019-8-19;Hvalsveien 23;25695.0
10135;Haugstad;Lukas;2015-1-27;Kolleveien 63;84370.0
10136;Sørensen;Erik;1995-9-2;Kari Trestakks vei 57;65069.0
10137;Svee;Norah;2007-1-15;Myrveien 49;32482.0
10138;Devik;Phillip;2019-0-4;Korten 5;94676.0
10139;Jensen;Hedda;2007-0-26;Serinelystveien 2;54453.0
10140;Søreide;Markus;1995-8-16;Kalamyrryggen 10;22908.0
10141;Johansen;Matteo;2001-8-22;Wedels gate 39;46819.0
10142;Pettersen;Jakob;1996-8-28;Haakon Sæthres vei 27;34488.0
10143;Ingvaldsen;Nicolas;2011-4-27;Vammatoppen 66;96805.0
10144;Danielsen;Ali;2004-10-28;Daniel Hansens gate 61;10146.0
10145;Håkonsen;Johannes;2007-9-28;Sandvollia 2;24234.0
10146;Hestvik;William;2007-10-10;Ytterseinesveien 62;17511.0
10147;Gullaksen;Aurora;2015-9-11;Thaulows vei 4;27570.0
10148;Berge;Mina;1999-4-23;Nyborgveien 17;79979.0
10149;Sødal;Sofie;1999-0-3;Pettersand 87;16633.0
10150;Sørensen;Even;2011-5-27;Syftesokbakken 49;79202.0
10151;Frigstad;Mathias;2004-11-17;Meatjønnshaugen 32;28275.0
10152;Haugland;Maja;1995-6-15;Revheimsslåttå 54;66910.0
10153;Madsen;Jacob;1998-1-7;Holmejordetveien 23;82553.0
10154;Hopland;Edvin;2018-8-26;Sannerød 24;65826.0
10155;Johannessen;Ayub;2014-5-18;Telemarksvingen 68;81249.0
10156;Svendsen;Eirik;2018-9-24;Ørneveien 44;18758.0
10157;Rognes;Elise;2016-12-21;Byfoged Finnes gate 43;57239.0
10158;Davidsen;Ylva;2004-2-28;Tegeveien 45;30355.0
10159;Wang;Henrik;1999-2-12;Gamle Jåttåvågen 50;84844.0
10160;Jakobsen;Daniel;1999-11-20;Langelandsvegen 75;75721.0
10161;Olsen;Sandra;1998-12-15;Sagplassvegen 5;41405.0
10162;Herdlevær;Theo;2019-4-1;Dragonstien 65;78180.0
10163;Hassel;Alvilde;2008-3-4;Breidablikk 55;85254.0
10164;Tharaldsen;Andrea;2007-10-3;Sørhella 36;61567.0
10165;Heen;Alex;2004-12-15;Kongsdatterveien 59;54728.0
10166;Øye;Johannes;2010-4-3;Othilie Tonnings vei 11;23195.0
10167;Andreassen;Sunniva;1997-10-7;Peder Myhres veg 83;24046.0
10168;Wold;Didrik;2014-0-24;Agronomveien 70;27230.0
10169;Berget;William;2010-2-19;Halvor Flodens veg 57;29626.0
10170;Kaur;Victoria;2017-4-22;Nedre Prestavegen 31;7290.0
10171;Antonsen;Syver;2018-6-8;Godliaveien 88;27333.0
10172;Digre;Eirik;2009-10-11;Marierostien 4;17307.0
10173;Berisha;Danial;2007-11-8;Nordliveien 13;41833.0
10174;Rusten;Eira;2004-12-4;Bergheimsvegen 43;17902.0
10175;Lunde;Jonas;2009-11-16;Stalheimvegen 1;87967.0
10176;Simonsen;Viktor;2010-8-10;Alkeveien 69;75857.0
10177;Nørstebø;Tobias;2012-9-7;Strandgaten 31;50755.0
10178;Haugen;Gabriel;2008-7-19;Vannposten 69;85856.0
10179;Holth;Mathias;2018-10-28;Dyrefaret 95;4989.0
10180;Aarflot;Martin;2007-1-12;Hvålagata 15;81351.0
10181;Dahlberg;Mohammed;2010-8-14;Ulsholtveien 10;37343.0
10182;Nilsen;Daniel;2009-6-2;Langneset 38;48922.0
10183;Daleng;Alva;1999-2-24;Leif Tronstads plass 76;57970.0
10184;Odden;Jenny;2003-9-15;Melkeveien 11;58790.0
10185;Svendsen;Karolina;2016-10-11;Gullfakskroken 79;75579.0
10186;Skjørestad;Andreas;2019-3-0;Kvalvågveien 9;42522.0
10187;Eikeland;Mathias;2006-4-20;Kløverveien 89;59992.0
10188;Eliassen;Felix;2012-11-19;Stockfleths gate 13;23798.0
10189;Sunde;Linnea;2015-10-14;Øvregate 81;15609.0
10190;Eriksen;Theodor;2019-4-18;Thaulows vei 52;3783.0
10191;Helland;Darin;2006-3-14;Lensmann Jens Sørums vei 74;17457.0
10192;Ensrud;Thomas;2017-11-25;Flatberget 62;31568.0
10193;Karlsen;Frida;2006-2-28;Rødborge 80;36816.0
10194;Jensen;Sebastian;1995-10-26;Lomveien 66;70027.0
10195;Holth;Thomas;2001-1-0;Flatberget 42;34521.0
10196;Sørensen;Karolina;1997-12-27;Klostervegen 37;38501.0
10197;Ingvaldsen;Vanessa;2019-2-21;Nordre Elvikvei 41;34971.0
10198;Stave;Sofie;2000-2-14;Gullfakskroken 76;42506.0
10199;Wergeland;Isak;2013-1-22;Elsbuneset 49;68918.0
10200;Larsen;Benjamin;1996-2-0;Harpunveien 19;79915.0
10201;Vik;Eirik;2002-8-25;Gramstadlia 77;87758.0
10202;Harstad;Kaja;2003-2-23;Dvergveien 89;50543.0
10203;Larsen;Emily;2010-11-6;Sagberget 14;12037.0
10204;Rørvik;Lene;2001-4-0;Jongskollen 48;98229.0
10205;Olafsen;Sander;1996-5-5;Vassfaret 5;3325.0
10206;Hauge;Sandra;2010-4-25;Nordbø 57;19654.0
10207;Nguyen;Synne;2019-1-23;Åsmund Vinjes vei 10;46023.0
10208;Holmefjord;Syver;2004-10-2;Peterhofveien 9;98157.0
10209;Vinje;Mia;1999-0-24;Bergesgarden 9;83445.0
10210;Sørensen;Tuva;2013-12-12;Daniel Danielsens gate 94;8600.0
10211;Skråmestø;Syver;2014-4-14;Skrivar Wessels veg 89;11867.0
10212;Hussein;Filip;2008-12-24;Ålmoveien 56;58855.0
10213;Olsen;Ellinor;2009-10-25;Sagplassvegen 10;79881.0
10214;Larsen;Julian;2007-10-13;Hystadvegen 93;89548.0
10215;Haugen;Lucas;1998-1-15;Gullfakskroken 86;12663.0
10216;Karlsen;Fredrik;2008-9-16;Smalgangen 73;63630.0
10217;Krogstad;Anna;2008-12-28;Engebråtan 4;79739.0
10218;Eriksen;Patrycja;2009-11-0;Oksenøyveien 6;3180.0
10219;Sjøli;Martine;2016-10-22;Nordre Sommerstien 20;61183.0
10220;Bjerkan;Amalie;2011-9-24;Rådmann Knudsens gate 69;54824.0
10221;Knudsen;Erlend;2002-12-7;Sigurd Nergaards veg 77;18753.0
10222;Norman;Ayub;2010-5-24;Fjellvåkvegen 12;91952.0
10223;Rasmussen;Lasse;2016-9-17;Høgeveien 13;81644.0
10224;Opheim;Victoria;1999-12-13;Vågsmyrgata 91;94470.0
10225;Seland;Benjamin;2003-7-27;Nordmørgata 88;26062.0
10226;Linge;Celine;2012-5-28;Gårdsveien 47;88175.0
10227;Olsson;Linnea;2017-6-17;Østhellinga 84;57469.0
10228;Wangberg;Sara;2013-6-4;Halmstadveien 61;28359.0
10229;Risnes;Ea;2008-7-3;Kremleveien 73;52233.0
10230;Jansen;Amalie;2005-12-15;Hans og Grete stien 54;92728.0
10231;Sæterdal;Millian;1996-2-10;Sildråpevegen 70;5160.0
10232;Borgen;Eva;2002-8-14;Grankollen 21;76056.0
10233;Midtbø;Elias;2007-5-4;Gulsetkåsa 81;9396.0
10234;Akhtar;Benjamin;2019-4-8;Solbergveien 5;57941.0
10235;Digre;Simon;1998-10-8;Nøklebytoppen 35;48971.0
10236;Berge;Mathias;2006-1-2;Berghusvegen 11;12707.0
10237;Vågenes;Ida;1995-11-4;Åsenveien 2;10120.0
10238;Svendsen;Malin;2007-11-26;Tetenveien 76;52130.0
10239;Opsahl;Edvard;2014-11-26;Langes gate 93;46461.0
10240;Jahren;Ahmed;1995-9-18;Ringaberget 8;79777.0
10241;Øksendal;Andrea;1999-0-20;Solvegen 12;69622.0
10242;Gjerde;Stein;2011-10-1;Håndverkergaten 74;33380.0
10243;Nørstebø;Sebastian;2019-3-11;Solbakken 3;93618.0
10244;Løkke;Matheo;2004-12-23;Ekrehaugen 84;75824.0
10245;Alvestad;Helene;2008-3-22;Kartverksveien 74;56752.0
10246;Skråmestø;Anna;2015-5-23;Kirkegårdsveien 26;94595.0
10247;Hetland;Natalie;2000-4-18;Øivinds veg 18;69938.0
10248;Skog;Oliver;1999-10-26;Bakkegata 22;36092.0
10249;Ellingsen;Thea;2016-3-16;Hukenveien 38;25362.0
10250;Bakken;Isak;2014-2-16;Einar Solstads vei 89;61661.0
10251;Wilhelmsen;Aksel;2003-6-4;Lomveien 84;51045.0
10252;Pedersen;Mathias;2013-10-15;Kollåsskiftet 39;97630.0
10253;Andersen;Patrycja;2016-1-19;Kalamyrryggen 1;25567.0
10254;Sundby;Lea;2005-9-9;Rambergveien 69;13907.0
10255;Syversen;Leo;2017-10-16;Kalamyrryggen 59;15115.0
10256;Stange;Mariam;2014-9-16;Hans og Grete stien 11;28056.0
10257;Krogstad;Maja;2013-3-11;Solhøgdvegen 39;54527.0
10258;Arnesen;Andreas;2017-7-26;Sollmanns vei 92;13458.0
10259;Misje;Truls;2000-10-13;Meklenborgåsen 85;21073.0
10260;Kolstad;Gabriel;2006-9-27;Søndre Fageråsvei 86;21576.0
10261;Seldal;Emil;2014-6-14;Frusetholtet 35;64938.0
10262;Karlsen;Sebastian;2007-8-12;Sletteheia 23;60453.0
10263;Hussein;Ellen;2019-12-2;Øverlandsvegen 52;85178.0
10264;Høyem;Amalie;2007-3-18;Blåtoppveien 2;5452.0
10265;Hammer;Rebecca;1999-3-6;Doktorveien 38;6202.0
10266;Sannes;Sandra;2004-5-9;Bergstien 37;21181.0
10267;Andersen;William;2017-8-17;Elsbuneset 18;82268.0
10268;Nilsen;Lene;2001-1-0;Faunveien 70;38834.0
10269;Myller;Erlend;1998-5-27;Conrad Holmboes veg 28;65898.0
10270;Johansen;Eira;2018-10-18;Håhammartunet 7;36443.0
10271;Hansen;Gaute;2012-2-8;Sandmovegen 73;54222.0
10272;Sollie;Mie;2007-10-5;Kollåsskiftet 16;59833.0
10273;Bjørkli;Jørgen;2003-7-24;Kragstadveien 87;72777.0
10274;Lunde;Sebastian;1995-10-20;Sletteheia 55;91101.0
10275;Skråmestø;William;1999-9-7;Fjordgata 89;62102.0
10276;Eikeland;Lina;1996-10-19;Påleklova 36;22284.0
10277;Stave;David;2015-6-16;Agronomveien 12;66947.0
10278;Løberg;Oscar;1998-5-7;Thaulows vei 51;58148.0
10279;Sylte;Hannah;2008-3-14;Trygves vei 10;44778.0
10280;Nyhus;Jenny;2008-3-7;Skihytteveien 19;26661.0
10281;Nilssen;Kajus;2005-11-26;Kongsdatterveien 46;24330.0
10282;Mørk;Åsne;2004-11-25;Irisveien 70;6970.0
10283;Sivertsen;Pernille;1997-2-2;Hvålagata 79;48428.0
10284;Bjørkli;Victor;2004-6-26;Nye Teglverks vei 43;99335.0
10285;Iversen;Noor;2019-0-21;Vassfaret 55;12769.0
10286;Fauske;Sigurd;2019-4-9;Nordeidstølen 50;14250.0
10287;Meyer;Storm;2003-0-15;Fastings gate 68;30633.0
10288;Hågensen;Mariell;2007-1-1;Smedsvingen 34;4567.0
10289;Andersen;Marie;1996-6-19;Lille Frogner allé 63;76756.0
10290;Andersen;Nora;2014-5-16;Anders Rørholts vei 35;16416.0
10291;Andersen;Ada;1997-4-10;Jerpeveien 20;97442.0
10292;Larsen;Selma;2009-6-9;Lamøya 67;71304.0
10293;Midtbø;Martin;2006-8-1;Stalheimvegen 40;47097.0
10294;Dahl;Pernille;1995-5-28;Nordre Fjellgate 92;60929.0
10295;Olsen;Lars;2012-10-28;Vaskerelven 72;65620.0
10296;Solstad;Johannes;2012-9-10;Nordre Fjellgate 36;55499.0
10297;Andersen;Carl;2002-7-20;Thulstrups gate 31;16279.0
10298;Skogmo;Thea;2002-2-27;Lundveien 53;95320.0
10299;Hoff;Maja;2005-10-10;Grensen 78;63223.0
10300;Thorsen;Sander;2002-3-5;Bjerkelivegen 56;37360.0
10301;Halland;Tuva;2016-0-19;Riegelsbakken 29;39045.0
10302;Iversen;Mats;2016-11-8;Isnesveien 46;53553.0
10303;Moi;Emine;2007-11-12;Høylandsvegen 86;16717.0
10304;Krogstad;Alexander;2007-2-27;Leitebakken 75;61080.0
10305;Meland;Bo;2019-5-1;Blindheimsnesvegen 87;71622.0
10306;Pedersen;Even;2008-5-11;Rasmusbakken 97;84654.0
10307;Nilsen;Martin;2015-12-3;Nordre Sommerstien 71;5081.0
10308;Midtbø;Sean;2014-11-4;Grenseveien 24;93437.0
10309;Linge;Julie;2018-8-4;Nordliveien 3;65615.0
10310;Sivertsen;Linnea;2007-12-9;Hellerveien 22;26523.0
10311;Iden;Hans;2010-9-10;Parkveien 10;63825.0
10312;Næss;Eirik;2003-3-7;Gravarskroken 99;37207.0
10313;Svendsen;Bjørn;2004-12-13;Storhauggata 23;64267.0
10314;Rasmussen;Emma;2001-8-25;Englandsvegen 75;71940.0
10315;Martinsen;Viktoria;1998-2-11;Torger Carlsens gate 43;60791.0
10316;Dale;Sofie;2013-0-1;Rådmann Knudsens gate 64;64247.0
10317;Hansen;Caroline;2014-6-7;Fossestuvegen 48;62715.0
10318;Pettersen;Nicklas;2006-0-27;Eckmannsbakken 96;99677.0
10319;Østby;Mika;2019-11-13;Granneslia 25;70537.0
10320;Sandli;Eva;2019-5-3;Vollgata 64;73054.0
10321;Sivertsen;Celine;2016-0-26;Bliksrudveien 85;81404.0
10322;Abrahamsen;Eirik;2000-11-24;Tarlebøveien 67;87197.0
10323;Næss;Markus;2016-2-7;Verftsveien 71;69596.0
10324;Jørgensen;David;2008-1-22;Johan Bojers veg 89;48014.0
10325;Johnsen;Laura;2004-9-26;Bordalsbakken 58;62728.0
10326;Pettersen;Phillip;2012-7-15;Øvre Bjørkåsen 25;51328.0
10327;Halland;Elias;2014-11-6;Falkåsen 57;76037.0
10328;Johansen;Mathea;1999-3-5;Rosenlundveien 46;1776.0
10329;Stene;Sofie;2003-4-23;Båtsmannsveien 69;70823.0
10330;Kristiansen;Leon;2004-2-25;Elverumgata 48;83352.0
10331;Pedersen;Thomas;2013-4-23;Sædalsvegen 60;8572.0
10332;Øvrebø;Aron;2005-10-28;Wildenveybakken 56;15225.0
10333;Jønsson;Imre;2013-11-2;Rambergveien 8;26199.0
10334;Rønning;Matilde;2011-0-16;Kleberget 73;41330.0
10335;Johansen;Olaf;2005-5-24;Skjønningsengvegen 86;83879.0
10336;Stene;Aylin;2002-1-12;Solbakken 54;26705.0
10337;Holm;Vetle;2006-6-12;Buråsveien 5;16590.0
10338;Lien;Lea;2013-2-20;Årenga 82;8247.0
10339;Skjerven;Maria;1998-9-17;Sædalsvegen 69;21677.0
10340;Hernes;Robin;2000-8-9;Skulgamvegen 89;75067.0
10341;Aune;Ahmed;2008-3-27;Kringsjåveien 43;79361.0
10342;Iversen;Ingrid;1998-2-17;Jens Dedekams vei 71;11813.0
10343;Olsen;Alma;2008-9-20;Leif Tronstads plass 2;72714.0
10344;Skogen;Torstein;2001-10-14;Gjøkbakken 8;80700.0
10345;Andersen;Viktoria;2004-2-19;Almeveien 65;96747.0
10346;Hansen;Thea;1995-6-8;Borgenbråten 64;67934.0
10347;Myhre;Alise;2007-5-16;Østre Aspehaug 32;63645.0
10348;Wergeland;Marie;1998-0-15;Ålmoveien 7;37489.0
10349;Skogheim;Halvor;2001-1-21;Nedre Gurødvei 17;64686.0
10350;Dale;Erlend;2018-3-19;Trestegveien 67;9987.0
10351;Terjesen;Adrian;1996-8-28;Sleggeveien 97;17690.0
10352;Hovden;Adrian;2004-10-9;Albert Moens veg 89;65278.0
10353;Breivik;Anton;2001-1-1;Veslevegen 32;79718.0
10354;Andersen;Isak;2018-11-2;Wedels gate 54;5114.0
10355;Drageset;Alvilde;2013-3-19;Ulrikskvern 92;97896.0
10356;Anfinsen;Linnea;1996-3-6;Nils Collett Vogts vei 98;88538.0
10357;Iqbal;Thomas;1996-3-16;Skavhaugen 48;91279.0
10358;Lund;Olivia;2001-4-7;Krusestuvegen 78;87258.0
10359;Kilen;Olivia;2013-6-3;Kjosvik 44;153.0
10360;Ekeland;Elisabeth;2000-3-26;Solegårdsveien 52;64845.0
10361;Larsen;Jonas;1997-1-25;Kalamyrryggen 38;55228.0
10362;Ulseth;Bella;2017-12-17;Elsbuneset 17;34825.0
10363;Ahmadi;Emily;2007-6-17;Skolegata 75;5437.0
10364;Berge;Oliver;2017-11-23;Øvre Bjørkåsen 15;18484.0
10365;Semb;Didrik;2006-2-24;Mons Slettens veg 87;70053.0
10366;Svendsen;Celina;2012-3-11;Bråmyra 71;25450.0
10367;Gilje;Melissa;1997-10-27;Holmejordetveien 37;88817.0
10368;Sæterdal;Ea;2006-9-8;Eckmannsbakken 74;7334.0
10369;Hartveit;Johannes;2019-6-1;Ånesveien 19;62630.0
10370;Fossum;Lukas;2014-8-11;Grønnebergveien 88;57785.0
10371;Larsen;Teja;2006-9-10;Pilkveien 62;24797.0
10372;Rønningen;Phillip;2009-8-6;Bruksvegen 35;98325.0
10373;Haugland;Emilie;2016-11-14;Granholmlia 60;47866.0
10374;Skramstad;Sondre;2013-6-27;Marcus Thranes vei 54;64678.0
10375;Løken;Thea;1998-0-23;Holeberget 89;47961.0
10376;Jørgensen;Nikolai;1999-6-8;Bergbyveien 8;86211.0
10377;Sara;Ingrid;2019-6-9;Matrosvegen 95;80903.0
10378;Selvik;Ibrahim;2017-1-12;Ole L. Kolstads veg 40;26643.0
10379;Iversen;Tiril;2002-5-13;Nordre Elvikvei 89;98165.0
10380;Fossum;Aleksander;2012-12-26;Langneset 65;94756.0
10381;Hansen;Hafsa;2006-0-7;Nedrelien 71;48250.0
10382;Bjørkmo;Christopher;2001-8-7;Gamle Stemvei 34;67939.0
10383;Skår;Ea;1998-4-15;Harehaugveien 95;30000.0
10384;Hasselberg;Martyna;1999-2-11;Jongskollen 32;9081.0
10385;Midtgård;Julie;1995-4-20;Nedre Kulås vei 76;64609.0
10386;Hjelseth;Even;2003-1-13;Lomveien 27;44313.0
10387;Ahmadi;Martine;2007-3-6;Grensen 49;27641.0
10388;Johansen;Noor;2013-3-24;Høgeveien 71;6897.0
10389;Lund;Bo;2000-9-26;Nisevegen 66;79787.0
10390;Pedersen;Eliah;2009-7-4;Rådyrstien 9;92333.0
